,Info
ceo,Elon Musk
coo,Gwynne Shotwell
cto,Elon Musk
cto_propulsion,Tom Mueller
employees,7000
founded,2002
founder,Elon Musk
headquarters.address,Rocket Road
headquarters.city,Hawthorne
headquarters.state,California
launch_sites,3
links.elon_twitter,https://twitter.com/elonmusk
links.flickr,https://www.flickr.com/photos/spacex/
links.twitter,https://twitter.com/SpaceX
links.website,https://www.spacex.com/
name,SpaceX
summary,"SpaceX designs, manufactures and launches advanced rockets and spacecraft. The company was founded in 2002 to revolutionize space technology, with the ultimate goal of enabling people to live on other planets."
test_sites,1
valuation,27500000000
vehicles,3
