,category,correct_answer,difficulty,incorrect_answers,question,type
0,General Knowledge,Ed Sheeran - I See Fire,hard,"['Marvin Gaye - Sexual Healing', 'Coldplay - Midnight', 'a-ha - Take On Me']",Electronic music producer Kygo&#039;s popularity skyrocketed after a certain remix. Which song did he remix?,multiple
1,General Knowledge,Clyde,medium,"['Tay', 'Dee', 'Tweed']",Which river flows through the Scottish city of Glasgow?,multiple
2,General Knowledge,"July 2, 1776",medium,"['May 4, 1776', 'June 4, 1776', 'July 4, 1776']",When was the Declaration of Independence approved by the Second Continental Congress?,multiple
3,General Knowledge,Demolition,easy,"['The Dream Team', 'The Bushwhackers', 'The British Bulldogs']",What was the name of the WWF professional wrestling tag team made up of the wrestlers Ax and Smash?,multiple
4,General Knowledge,Genesis,easy,"['Exodus', 'Leviticus', 'Numbers']",What is the first book of the Old Testament?,multiple
5,General Knowledge,Key,easy,"['Sword', 'Pen', 'Cellphone']","In the video-game franchise Kingdom Hearts, the main protagonist, carries a weapon with what shape?",multiple
6,General Knowledge,Hairy,medium,"['Rude', 'Funny', 'Tall']",What is the defining characteristic of someone who is described as hirsute?,multiple
7,General Knowledge,False,medium,['True'],Coca-Cola&#039;s original colour was green.,boolean
8,General Knowledge,George Washington,easy,"['Thomas Jefferson', 'Abraham Lincoln', 'Benjamin Franklin']",Which American president appears on a one dollar bill?,multiple
9,General Knowledge,Hungarian,medium,"['Russian', 'Greek', 'Latvian']",Which language is NOT Indo-European?,multiple
10,General Knowledge,India,hard,"['Papua New Guinea', 'Ethiopia', 'China']",The words &quot;bungalow&quot; and &quot;shampoo&quot; originate from the languages of which country?,multiple
11,General Knowledge,False,medium,['True'],"The word &quot;news&quot; originates from the first letters of the 4 main directions on a compass (North, East, West, South).",boolean
12,General Knowledge,7,easy,"['8', '9', '10']",How many colors are there in a rainbow?,multiple
13,General Knowledge,False,medium,['True'],You are allowed to sell your soul on eBay.,boolean
14,General Knowledge,Bullfighting,medium,"['Fiestas', 'Flamenco', 'Mariachi']","What did the Spanish autonomous community of Catalonia ban in 2010, that took effect in 2012?",multiple
15,General Knowledge,Golden State,easy,"['Sunshine State', 'Bay State', 'Treasure State']",What is the nickname of the US state of California?,multiple
16,General Knowledge,Burro,easy,"['Caballo', 'Toro', 'Perro']",What is the Spanish word for &quot;donkey&quot;?,multiple
17,General Knowledge,Daigaku,medium,"['Toshokan', 'Jimusho', 'Shokudou']",What is the romanized Japanese word for &quot;university&quot;?,multiple
18,General Knowledge,Feiji,hard,"['Qiche', 'Zongxian', 'Huojian']",What is the romanized Chinese word for &quot;airplane&quot;?,multiple
19,General Knowledge,Zima,medium,"['Leto', 'Vesna', 'Osen&#039;']",What is the romanized Russian word for &quot;winter&quot;?,multiple
20,General Knowledge,Big Mouth Billy Bass,medium,"['Big Billy Bass', 'Singing Fish', 'Sardeen']","What is the name of the popular animatronic singing fish prop, singing such hits such as &quot;Don&#039;t Worry, Be Happy&quot;?",multiple
21,General Knowledge,True,medium,['False'],The average woman is 5 inches / 13 centimeters shorter than the average man.,boolean
